General : Start date,"2/12/2018 8:56 AM"
General : End date,"2/12/2018 8:58 AM"
Test : Rate 1,"6.00000",mm/min
Specimen properties : Length,"57.20000",mm
Specimen properties : Thickness,"6.60000",mm
Specimen properties : Width,"12.92000",mm
Specimen properties : Area,"85.27200",mm^2

Time,Extension,Load,Tensile strain (Extension),Strain 1
(s),(mm),(N),(%),(%)
"40.60000","4.06017","24632.07617","7.09820","2.79336"
"40.70000","4.07020","24639.93945","7.11573","2.80947"
"40.80000","4.08018","24646.09375","7.13318","2.82608"
"40.90000","4.09010","24651.02344","7.15053","2.84265"
"41.00000","4.10011","24659.03516","7.16802","2.85898"
"41.10000","4.11016","24667.90820","7.18560","2.87593"
"41.20000","4.12017","24672.40625","7.20309","2.89229"
"41.30000","4.13017","24679.18945","7.22058","2.90953"
"41.40000","4.14022","24683.19141","7.23815","2.92585"
"41.50000","4.15018","24690.35352","7.25556","2.94229"
"41.60000","4.16016","24695.70703","7.27300","2.95899"
"41.70000","4.17021","24703.16992","7.29058","2.97545"
"41.80000","4.18026","24707.76953","7.30815","2.99173"
"41.90000","4.19019","24712.80859","7.32551","3.00794"
"42.00000","4.20017","24720.60547","7.34296","3.02407"
"42.10000","4.21020","24727.83398","7.36049","3.04061"
"42.20000","4.22020","24733.15820","7.37798","3.05705"
"42.30000","4.23018","24739.51953","7.39542","3.07305"
"42.40000","4.24021","24747.89453","7.41296","3.08999"
"42.50000","4.25022","24753.99609","7.43045","3.10600"
"42.60000","4.26014","24758.71875","7.44780","3.12246"
"42.70000","4.27015","24765.00781","7.46529","3.13863"
"42.80000","4.28020","24772.66406","7.48287","3.15523"
"42.90000","4.29018","24778.25195","7.50031","3.17171"
"43.00000","4.30013","24784.78906","7.51772","3.18836"
"43.10000","4.31021","24790.37695","7.53534","3.20504"
"43.20000","4.32017","24794.92969","7.55274","3.22093"
"43.30000","4.33009","24801.40234","7.57009","3.23771"
"43.40000","4.34017","24808.45703","7.58772","3.25413"
"43.50000","4.35025","24815.16992","7.60534","3.27015"
"43.60000","4.36021","24819.48633","7.62274","3.28642"
"43.70000","4.37016","24826.30273","7.64014","3.30254"
"43.80000","4.38021","24833.41406","7.65772","3.31906"
"43.90000","4.39019","24837.48242","7.67516","3.33526"
"44.00000","4.40020","24844.85156","7.69265","3.35174"
"44.10000","4.41025","24851.86523","7.71023","3.36801"
"44.20000","4.42023","24857.18555","7.72767","3.38489"
"44.30000","4.43016","24862.30664","7.74503","3.40078"
"44.40000","4.44019","24868.15430","7.76256","3.41702"
"44.50000","4.45022","24873.88477","7.78010","3.43335"
"44.60000","4.46019","24880.17773","7.79754","3.44977"
"44.70000","4.47017","24887.16602","7.81499","3.46616"
"44.80000","4.48023","24893.95703","7.83256","3.48290"
"44.90000","4.49018","24896.56836","7.84997","3.49874"
"45.00000","4.50011","24903.98242","7.86732","3.51514"
"45.10000","4.51016","24912.39648","7.88490","3.53156"
"45.20000","4.52024","24918.66211","7.90252","3.54788"
"45.30000","4.53022","24923.41797","7.91997","3.56456"
"45.40000","4.54020","24929.36328","7.93741","3.58129"
"45.50000","4.55018","24935.53516","7.95486","3.59701"
"45.60000","4.56016","24941.67969","7.97230","3.61406"
"45.70000","4.57018","24947.55469","7.98983","3.63024"
"45.80000","4.58024","24953.20508","8.00741","3.64670"
"45.90000","4.59017","24958.28516","8.02477","3.66287"
"46.00000","4.60010","24962.99414","8.04213","3.67951"
"46.10000","4.61012","24969.82422","8.05966","3.69586"
"46.20000","4.62023","24975.32031","8.07732","3.71200"
"46.30000","4.63021","24981.24414","8.09477","3.72845"
"46.40000","4.64021","24987.16797","8.11226","3.74456"
"46.50000","4.65024","24992.47852","8.12979","3.76107"
"46.60000","4.66022","24996.29492","8.14724","3.77715"
